大区分	中区分	小区分（画面単位）	機能内容	画面ID	認証	レスポンシブ対応	URL	備考欄	
		ユーザー新規登録・編集画面	"・ユーザの追加、編集、削除を行う。
・新規登録画面・ユーザー情報編集画面の入力項目（名前、パスワード、性別、権限、所属）
　┗ 名前：255文字以内で入力可能、一意
　┗ パスワード：8文字以上の半角英数字（入力値をハッシュ化してDBに登録）
　┗ 性別：選択式でそれ以外の項目が来た場合エラー
　┗ 権限：管理者、店舗スタッフ、倉庫スタッフ選択
　┗ 所属：店舗・倉庫スタッフは所属登録必須"						
	倉庫管理	倉庫一覧表示画面	"・倉庫一覧表示（倉庫名、倉庫住所）
　┗ 住所での絞り込み可能（改修項目シートの項目に該当するので実装しなくても問題なし）
・新規倉庫追加画面、各倉庫の編集画面に遷移が可能
・登録されている倉庫を削除可能、倉庫一覧で表示されないようする。
　┗ 論理削除"						
		倉庫追加・編集画面	"・新規倉庫の追加、編集機能の実装
・追加/編集（入力項目：倉庫名、住所）
　┗ 倉庫名：255文字で入力可能・NULL不可
　┗ 住所：同上
"						
	店舗管理	店舗一覧表示画面	"・店舗一覧表示（店舗名、店舗住所）
　┗ 住所での絞り込み可能（改修項目シートの項目に該当するので実装しなくても問題なし）
・新規店舗追加画面、各店舗の編集画面に遷移が可能
・登録されている店舗を削除可能、店舗一覧で表示されないようする。
　┗ 論理削除"						
		店舗追加・編集画面	"・新規店舗の追加、編集機能
・追加/編集（入力項目：店舗名、住所）
　┗ 店舗名：255文字で入力可能・NULL不可
　┗ 住所：同上
"						
	商品管理	商品一覧画面	"・商品を一覧表示（商品名、カテゴリー）
　┗ カテゴリごとに絞り込み可能
・登録されている商品を削除可能。商品一覧で表示されないようにする。
　┗ 論理削除"						
		商品追加画面	"・商品追加フォーム
　┗ 商品名：255文字で入力可能・NULL不可・既存商品と同一名不可
　┗ カテゴリー：選択式
・追加した際に商品テーブルの他に各店舗・倉庫の在庫テーブルにもを追加する"						
	"連携管理

管理者が事前に定義した
店舗・倉庫間の紐付けに基づき、
店舗側での表示対象倉庫を限定する。"	連携一覧画面	"・連携一覧表示（店舗名、倉庫名）
　┗店舗での絞り込み可能
・登録されている店舗と倉庫の連携を削除可能。連携一覧で表示されないようにする。
　┗ 論理削除"						
		連携追加画面	"・取引可能な店舗と倉庫の連携（紐付け）を追加
　┗ 入力項目：店舗名、倉庫名（選択式）
　┗店舗、倉庫の組み合わせは一意"						
店舗スタッフ	ダッシュボード	ホーム画面	"・店舗内での発注商品のランキング
　┗過去１か月
・全店舗での発注商品ランキング
　┗過去１か月
"						
	在庫管理	店舗商品在庫一覧表示画面	"・ユーザーの所属店舗の商品在庫を一覧表示（商品名、カテゴリ、在庫数）
　┗ カテゴリで絞り込みが可能
・登録されている各商品ごとに商品在庫編集画面に遷移ができる"						
		店舗商品在庫編集画面	"・在庫数の編集フォーム
 　編集可能項目
　┗在庫数：数量を0以上のみで入力可能（-1などは入力不可）"						
	連携倉庫	連携倉庫一覧画面	"・連携している倉庫一覧表示（倉庫名、住所）
　問い合わせボタン（倉庫IDを渡して問い合わせ管理画面へ遷移可能）"						
	発注管理	発注商品選択画面	"・発注用のファイルをインポートして一括発注
　┗ファイル内の記述を読み取って商品ごとに異なる連携倉庫にまとめて発注することができる
　┗通常発注と同様になるようにバリデーション追加
・発注エクセルダウンロード
・商品一覧表示（商品名、カテゴリ、連携先合計在庫、商品選択発注の遷移ボタン）
　┗カテゴリでの絞り込み可能
・各商品の商品発注画面へ遷移が可能
"						
		商品発注画面	"・選択した商品名、カテゴリー、発注先倉庫名（連携倉庫名）、在庫数、発注個数が表示されている。
・発注先倉庫（連携倉庫）ごとに商品の発注数を選択可能。（連携倉庫のみ表示、数は正数のみ）
　┗送信後、発注商品選択画面に遷移可能"						
		発注履歴確認画面	"・過去に発注した商品履歴を一覧で表示（商品名、倉庫名、発注数、ステータス、発注日時、更新日時）
　┗期間、ステータスでの絞り込み可能
・CSVエクスポート
　┗発注情報の履歴をまとめたCSVを一括取得可能
・PDFダウンロード
　┗発注情報の履歴をまとめたPDFを書き出し可能"						
倉庫スタッフ	倉庫在庫管理	倉庫商品在庫一覧画面	"・商品在庫一覧表示（倉庫名、カテゴリー、商品名、在庫数）
　┗ カテゴリでの絞り込み可能
　┗ 編集ボタンで各商品の倉庫商品在庫一覧画面へ遷移が可能"						
		倉庫商品在庫編集画面	"・商品在庫編集
　┗ 商品在庫数を増減して更新できる
　┗ 数量は0以上のみで入力可能（-1などは入力不可）"						
	受注管理	受注管理画面	"・ログインしているユーザーの所属する倉庫の受注一覧表示（過去履歴も表示される）
　（発注元店舗	商品名	発注個数	ステータス	発注日時	更新日時）　
　┗ ステータスを変更可能（準備中、発注済）
　┗ 期間、ステータスで絞り込み
・CSVエクスポート
　┗受注の履歴をまとめたCSVを一括取得可能
・PDFダウンロード
　┗受注の履歴をまとめたPDFを書き出し可能"						
